headword,pos,supplement,entry,meaning,ipa,word_id,example_sentence,translated_sentence,sentence_id
,,,enthusiastic,熱心な、熱狂的な,/ɪnˌθ(j)uːziˈæstɪk/,14117,The concert was jam-packed with enthusiastic fans.,コンサート会場は熱狂的なファンでぎっしり詰まっていた。,1659236
,,,residential,"住居の,居住の / 住居向きの",/rɪˈzɪdənʃəl/,35775,I live in a residential area.,私は住宅地に住んでいます。,1662065
,,,signature,"〈C〉署名, サイン / 特徴 / 音楽記号 / 〈U〉署名すること",/sɪɡˈnətʃər/,38911,He signed the document with his autographic signature.,彼は自筆の署名で文書にサインしました。,1649535
,,,trait,"〈C〉《かたく》 (性格・身体上の) 特徴, 特性, 性質",/ treɪt /,43953,Her kindness is a trait that everyone admires.,彼女の優しさは、誰もが称賛する特徴です。,3005893
,,,desperate,"自暴自棄の,やけくその / 《補語にのみ用いて》切望している  / (回復・改善などの)見込みがない / 耐えられない / 死にもの狂いの",/dɛspərət/,11572,She was desperate to find a job.,彼女は仕事を見つけるのに必死だった。,2997512
,,,accommodate,"(必要なものを)〈人〉に便宜をはかる / 〈人〉を宿泊させる, を収容する / 《…に》...を適応させる《to ...》/…を受け入れる、承諾する",/əˈkɑːmədeɪt/,287,The hotel can accommodate up to 500 guests.,ホテルは最大500名まで収容可能です。,2995682
,,,accrual,"〈U/C〉発生, 増加 / 付加利子 / 《会計》発生主義",/əˈkruːəl/,48389,The company's financial statement showed a significant increase in the accrual of unpaid expenses this quarter.,同社の財務諸表には、今期、未払い費用の発生が大幅に増加したことが記載されていました。,1627745
,,,exceptional,"例外の, まれな / 非常に優れた",/ɪkˈsɛpʃənəl/,14656,She has exceptional talent in singing.,彼女は歌唱力が非常に優れている（例外的）です。,2998319
,,,utility,〈U〉役に立つこと / 〈C〉《しばしば複数形で》(ガス・電気・水道などの) 公共事業体,/juˈtɪlɪti/,45712,The utility company provides electricity and water to the residents.,公共事業会社は住民に電気と水を供給しています。,3006332
,,,workforce,"【名/C】労働人口, 全労働力",/'wɜrkˌfɔrs/,47832,The company is investing in training programs to develop a skilled workforce.,会社は熟練した労働力を育成するために研修プログラムに投資しています。,3006848
