headword,pos,supplement,entry,meaning,ipa,word_id,example_sentence,translated_sentence,sentence_id
,,,trait,"〈C〉《かたく》 (性格・身体上の) 特徴, 特性, 性質",/ treɪt /,43953,Her kindness is a trait that everyone admires.,彼女の優しさは、誰もが称賛する特徴です。,3005893
,,,utility,〈U〉役に立つこと / 〈C〉《しばしば複数形で》(ガス・電気・水道などの) 公共事業体,/juˈtɪlɪti/,45712,The utility company provides electricity and water to the residents.,公共事業会社は住民に電気と水を供給しています。,3006332
,,,morphology,"形態学(生物の構造の研究)  / 形態論,語形論(言語の形態の研究)",/mɔrˈfɑlədʒi/,27553,Morphology is the study of the structure of organisms.,形態学は生物の構造の研究です。,3001641
,,,inequality,"〈U/C〉等しくないこと, 不平等 / 〈C〉《複数形で》でこぼこ / 〈U〉不等 / 〈C〉不等式",/ɪnɪˈkwɒlɪti/,21725,There is a growing inequality between the rich and the poor in our society.,私たちの社会では、富裕層と貧困層の間で格差が広がっています。,3000158
,,,phosphate,【名/U】リン酸塩 / 【名/C】《複数形で》リン酸肥料,/fɒsfeɪt/,31672,Phosphate is an essential nutrient for plant growth.,リン酸塩は植物の成長に必要な栄養素です。,1660752
,,,depict,"(絵・言葉などで)…‘を'描き表す,描写する",/dɪˈpɪkt/,11430,The artist used vibrant colors to depict the beauty of nature.,芸術家は鮮やかな色を使って自然の美しさを描き表しました。,2997476
,,,shuttle,"【名/C】(特に短距離の)定期往復列車, 便 / 杼 / (ミシンの)シャトル / 【動/他】を前後に動かす, を往復させる / 【動/自】行ったり来たりする",/ˈʃʌtəl/,38797,I took the shuttle to the airport.,私はシャトルバスで空港に行きました。,3004533
,,,actively,"活発に, 積極的に",/ˈæk.tɪv.li/,440,She is actively participating in the community service.,彼女は積極的に地域奉仕活動に参加しています。,2995739
,,,adaptive,"適応できる,適応性のある",/əˈdæptɪv/,478,The adaptive nature of the human brain allows us to learn and adjust to new situations.,人間の脳の適応性により、私たちは新しい状況に学び、適応することができます。,1639583
,,,adjacent,"近接の,隣接している",/əˈdʒeɪsənt/,518,The two buildings are adjacent to each other.,その二つの建物は互いに近接しています。,2995771
,,,mutation,"変化,俸転  / (生物の)突然変異;その変種",/mjuˈteɪʃən/,27963,The mutation of the virus caused a pandemic.,ウィルスの変異がパンデミックを引き起こした。,1626658
,,,aerosol,"【名/C】噴霧器, スプレー缶, エアゾール / 煙霧質(気体中に膠質粒子が分散した状態), エアロゾル",/ˈɛərəˌsɒl/,682,[[Bug spray]] is an aerosol you spray on your skin to [[ward off]] harmful insects.,虫除けスプレーは、有害な虫を追い払うために肌に吹きかけるスプレー缶です。,1017199
